--Iteration complete--
2 7.656007
5 2.502580
7 1.232979
9 1.749638
11 1.170146
13 2.808558
15 7.997939
16 7.997939
17 7.997939
18 7.997939
19 0.554433
--Iteration complete--
2 7.921756
5 2.002064
7 0.986384
9 2.265591
11 2.668560
13 3.011071
15 7.997939
16 7.997939
17 7.997939
18 7.997939
19 0.443546--Iteration complete--2 7.2492915 1.601651
7 1.728260
9 2.628822
11 2.912512
13 2.408857
15 7.997939
16 7.997939
17 7.99793918 7.99793919 0.354837--Iteration complete--
2 7.602671
5 1.281321
7 3.014323
9 2.103058
11 2.330010
13 1.927086
15 7.99793916 7.99793917 7.99793918 7.997939
19 0.283869
--Iteration complete--
6, 8, 10, 14, 12, 3, 1, 0, 4,
